"","neighborhood","ofns_desc","count"
"440","Bushwick","OTHER OFFENSES RELATED TO THEF",57
"441","Bushwick","OTHER STATE LAWS",4
"442","Bushwick","OTHER STATE LAWS (NON PENAL LA",43
"443","Bushwick","PETIT LARCENY",6521
"444","Bushwick","PETIT LARCENY OF MOTOR VEHICLE",26
"445","Bushwick","POSSESSION OF STOLEN PROPERTY",154
"446","Bushwick","PROSTITUTION & RELATED OFFENSES",3
"447","Bushwick","RAPE",148
"448","Bushwick","ROBBERY",1598
"449","Bushwick","SEX CRIMES",510
"450","Bushwick","THEFT OF SERVICES",13
"451","Bushwick","THEFT-FRAUD",310
"452","Bushwick","UNAUTHORIZED USE OF A VEHICLE",96
"453","Bushwick","VEHICLE AND TRAFFIC LAWS",790
"454","Central Harlem","(null)",3
"455","Central Harlem","ADMINISTRATIVE CODE",112
"456","Central Harlem","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",23
"457","Central Harlem","ALCOHOLIC BEVERAGE CONTROL LAW",11
"458","Central Harlem","ANTICIPATORY OFFENSES",1
"459","Central Harlem","ARSON",119
"460","Central Harlem","ASSAULT 3 & RELATED OFFENSES",7834
"461","Central Harlem","BURGLAR'S TOOLS",37
"462","Central Harlem","BURGLARY",1610
"463","Central Harlem","CANNABIS RELATED OFFENSES",4
"464","Central Harlem","CHILD ABANDONMENT/NON SUPPORT",4
"465","Central Harlem","CRIMINAL MISCHIEF & RELATED OF",7073
"466","Central Harlem","CRIMINAL TRESPASS",607
"467","Central Harlem","DANGEROUS DRUGS",3196
"468","Central Harlem","DANGEROUS WEAPONS",1038
"469","Central Harlem","DISORDERLY CONDUCT",11
"470","Central Harlem","ENDAN WELFARE INCOMP",3
"471","Central Harlem","FELONY ASSAULT",3814
"472","Central Harlem","FORGERY",802
"473","Central Harlem","FRAUDS",234
"474","Central Harlem","FRAUDULENT ACCOSTING",15
"475","Central Harlem","GAMBLING",133
"476","Central Harlem","GRAND LARCENY",4242
"477","Central Harlem","GRAND LARCENY OF MOTOR VEHICLE",530
"478","Central Harlem","HARRASSMENT 2",10514
"479","Central Harlem","HOMICIDE-NEGLIGENT,UNCLASSIFIE",5
"480","Central Harlem","HOMICIDE-NEGLIGENT-VEHICLE",1
"481","Central Harlem","INTOXICATED & IMPAIRED DRIVING",385
"482","Central Harlem","KIDNAPPING & RELATED OFFENSES",24
"483","Central Harlem","LOITERING/GAMBLING (CARDS, DIC",5
"484","Central Harlem","MISCELLANEOUS PENAL LAW",1843
"485","Central Harlem","MURDER & NON-NEGL. MANSLAUGHTER",58
"486","Central Harlem","NYS LAWS-UNCLASSIFIED FELONY",61
"487","Central Harlem","NYS LAWS-UNCLASSIFIED VIOLATION",3
"488","Central Harlem","OFF. AGNST PUB ORD SENSBLTY &",2941
"489","Central Harlem","OFFENSES AGAINST PUBLIC ADMINI",1356
"490","Central Harlem","OFFENSES AGAINST PUBLIC SAFETY",7
"491","Central Harlem","OFFENSES AGAINST THE PERSON",229
"492","Central Harlem","OFFENSES INVOLVING FRAUD",284
"493","Central Harlem","OFFENSES RELATED TO CHILDREN",14
"494","Central Harlem","OTHER OFFENSES RELATED TO THEF",132
"495","Central Harlem","OTHER STATE LAWS",2
"496","Central Harlem","OTHER STATE LAWS (NON PENAL LA",44
"497","Central Harlem","PETIT LARCENY",11622
"498","Central Harlem","PETIT LARCENY OF MOTOR VEHICLE",16
"499","Central Harlem","POSSESSION OF STOLEN PROPERTY",204
"500","Central Harlem","PROSTITUTION & RELATED OFFENSES",8
"501","Central Harlem","RAPE",170
"502","Central Harlem","ROBBERY",2195
"503","Central Harlem","SEX CRIMES",871
"504","Central Harlem","THEFT OF SERVICES",61
"505","Central Harlem","THEFT-FRAUD",335
"506","Central Harlem","UNAUTHORIZED USE OF A VEHICLE",109
"507","Central Harlem","VEHICLE AND TRAFFIC LAWS",799
"508","Central Park","ADMINISTRATIVE CODE",3
"509","Central Park","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",4
"510","Central Park","ARSON",1
"511","Central Park","ASSAULT 3 & RELATED OFFENSES",192
"512","Central Park","BURGLAR'S TOOLS",1
"513","Central Park","BURGLARY",14
"514","Central Park","CHILD ABANDONMENT/NON SUPPORT",1
"515","Central Park","CRIMINAL MISCHIEF & RELATED OF",166
"516","Central Park","CRIMINAL TRESPASS",4
"517","Central Park","DANGEROUS DRUGS",41
"518","Central Park","DANGEROUS WEAPONS",24
"519","Central Park","FELONY ASSAULT",49
"520","Central Park","FORGERY",5
"521","Central Park","FRAUDS",4
"522","Central Park","GRAND LARCENY",189
"523","Central Park","GRAND LARCENY OF MOTOR VEHICLE",2
"524","Central Park","HARRASSMENT 2",215
"525","Central Park","INTOXICATED & IMPAIRED DRIVING",8
"526","Central Park","MISCELLANEOUS PENAL LAW",17
"527","Central Park","MURDER & NON-NEGL. MANSLAUGHTER",2
"528","Central Park","OFF. AGNST PUB ORD SENSBLTY &",48
"529","Central Park","OFFENSES AGAINST PUBLIC ADMINI",21
"530","Central Park","OFFENSES AGAINST THE PERSON",6
"531","Central Park","OFFENSES INVOLVING FRAUD",1
"532","Central Park","OTHER STATE LAWS (NON PENAL LA",1
"533","Central Park","PETIT LARCENY",269
"534","Central Park","POSSESSION OF STOLEN PROPERTY",5
"535","Central Park","RAPE",19
"536","Central Park","ROBBERY",106
"537","Central Park","SEX CRIMES",55
"538","Central Park","UNAUTHORIZED USE OF A VEHICLE",6
"539","Central Park","VEHICLE AND TRAFFIC LAWS",24
"540","Chelsea/Clinton/Midtown","(null)",3
"541","Chelsea/Clinton/Midtown","ADMINISTRATIVE CODE",96
"542","Chelsea/Clinton/Midtown","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",15
"543","Chelsea/Clinton/Midtown","ARSON",83
"544","Chelsea/Clinton/Midtown","ASSAULT 3 & RELATED OFFENSES",11559
"545","Chelsea/Clinton/Midtown","BURGLAR'S TOOLS",162
"546","Chelsea/Clinton/Midtown","BURGLARY",4023
"547","Chelsea/Clinton/Midtown","CHILD ABANDONMENT/NON SUPPORT",4
"548","Chelsea/Clinton/Midtown","CRIMINAL MISCHIEF & RELATED OF",8138
"549","Chelsea/Clinton/Midtown","CRIMINAL TRESPASS",970
"550","Chelsea/Clinton/Midtown","DANGEROUS DRUGS",4205
"551","Chelsea/Clinton/Midtown","DANGEROUS WEAPONS",1282
"552","Chelsea/Clinton/Midtown","DISORDERLY CONDUCT",12
"553","Chelsea/Clinton/Midtown","ENDAN WELFARE INCOMP",3
"554","Chelsea/Clinton/Midtown","ESCAPE 3",2
"555","Chelsea/Clinton/Midtown","FELONY ASSAULT",3489
"556","Chelsea/Clinton/Midtown","FORGERY",1561
"557","Chelsea/Clinton/Midtown","FORTUNE TELLING",1
"558","Chelsea/Clinton/Midtown","FRAUDS",712
"559","Chelsea/Clinton/Midtown","FRAUDULENT ACCOSTING",344
"560","Chelsea/Clinton/Midtown","GAMBLING",14
"561","Chelsea/Clinton/Midtown","GRAND LARCENY",24829
"562","Chelsea/Clinton/Midtown","GRAND LARCENY OF MOTOR VEHICLE",892
"563","Chelsea/Clinton/Midtown","HARRASSMENT 2",14129
"564","Chelsea/Clinton/Midtown","HOMICIDE-NEGLIGENT-VEHICLE",1
"565","Chelsea/Clinton/Midtown","INTOXICATED & IMPAIRED DRIVING",457
"566","Chelsea/Clinton/Midtown","JOSTLING",26
"567","Chelsea/Clinton/Midtown","KIDNAPPING & RELATED OFFENSES",13
"568","Chelsea/Clinton/Midtown","LOITERING",1
"569","Chelsea/Clinton/Midtown","MISCELLANEOUS PENAL LAW",1615
"570","Chelsea/Clinton/Midtown","MURDER & NON-NEGL. MANSLAUGHTER",35
"571","Chelsea/Clinton/Midtown","NEW YORK CITY HEALTH CODE",2
"572","Chelsea/Clinton/Midtown","NYS LAWS-UNCLASSIFIED FELONY",26
"573","Chelsea/Clinton/Midtown","NYS LAWS-UNCLASSIFIED VIOLATION",2
"574","Chelsea/Clinton/Midtown","OFF. AGNST PUB ORD SENSBLTY &",4059
"575","Chelsea/Clinton/Midtown","OFFENSES AGAINST PUBLIC ADMINI",1728
"576","Chelsea/Clinton/Midtown","OFFENSES AGAINST PUBLIC SAFETY",60
"577","Chelsea/Clinton/Midtown","OFFENSES AGAINST THE PERSON",352
"578","Chelsea/Clinton/Midtown","OFFENSES INVOLVING FRAUD",372
"579","Chelsea/Clinton/Midtown","OFFENSES RELATED TO CHILDREN",2
"580","Chelsea/Clinton/Midtown","OTHER OFFENSES RELATED TO THEF",390
"581","Chelsea/Clinton/Midtown","OTHER STATE LAWS",5
"582","Chelsea/Clinton/Midtown","OTHER STATE LAWS (NON PENAL LA",61
"583","Chelsea/Clinton/Midtown","PETIT LARCENY",34146
"584","Chelsea/Clinton/Midtown","PETIT LARCENY OF MOTOR VEHICLE",9
"585","Chelsea/Clinton/Midtown","POSSESSION OF STOLEN PROPERTY",432
"586","Chelsea/Clinton/Midtown","PROSTITUTION & RELATED OFFENSES",13
"587","Chelsea/Clinton/Midtown","RAPE",306
"588","Chelsea/Clinton/Midtown","ROBBERY",3299
"589","Chelsea/Clinton/Midtown","SEX CRIMES",2167
"590","Chelsea/Clinton/Midtown","THEFT OF SERVICES",394
"591","Chelsea/Clinton/Midtown","THEFT-FRAUD",855
"592","Chelsea/Clinton/Midtown","UNAUTHORIZED USE OF A VEHICLE",224
"593","Chelsea/Clinton/Midtown","UNLAWFUL POSS. WEAP. ON SCHOOL",2
"594","Chelsea/Clinton/Midtown","VEHICLE AND TRAFFIC LAWS",1295
"595","Coney Island","(null)",1
"596","Coney Island","ADMINISTRATIVE CODE",53
"597","Coney Island","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",5
"598","Coney Island","ALCOHOLIC BEVERAGE CONTROL LAW",13
"599","Coney Island","ARSON",76
"600","Coney Island","ASSAULT 3 & RELATED OFFENSES",3924
"601","Coney Island","BURGLAR'S TOOLS",20
"602","Coney Island","BURGLARY",717
"603","Coney Island","CANNABIS RELATED OFFENSES",1
"604","Coney Island","CHILD ABANDONMENT/NON SUPPORT",1
"605","Coney Island","CRIMINAL MISCHIEF & RELATED OF",3976
"606","Coney Island","CRIMINAL TRESPASS",262
"607","Coney Island","DANGEROUS DRUGS",1698
"608","Coney Island","DANGEROUS WEAPONS",656
"609","Coney Island","DISORDERLY CONDUCT",5
"610","Coney Island","ENDAN WELFARE INCOMP",2
"611","Coney Island","FELONY ASSAULT",1681
"612","Coney Island","FELONY SEX CRIMES",2
"613","Coney Island","FORGERY",519
"614","Coney Island","FRAUDS",147
"615","Coney Island","GAMBLING",12
"616","Coney Island","GRAND LARCENY",2513
"617","Coney Island","GRAND LARCENY OF MOTOR VEHICLE",396
"618","Coney Island","HARRASSMENT 2",5241
"619","Coney Island","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"620","Coney Island","INTOXICATED & IMPAIRED DRIVING",358
"621","Coney Island","JOSTLING",1
"622","Coney Island","KIDNAPPING",1
"623","Coney Island","KIDNAPPING & RELATED OFFENSES",11
"624","Coney Island","MISCELLANEOUS PENAL LAW",1565
"625","Coney Island","MURDER & NON-NEGL. MANSLAUGHTER",26
"626","Coney Island","NEW YORK CITY HEALTH CODE",1
"627","Coney Island","NYS LAWS-UNCLASSIFIED FELONY",45
"628","Coney Island","OFF. AGNST PUB ORD SENSBLTY &",1497
"629","Coney Island","OFFENSES AGAINST PUBLIC ADMINI",445
"630","Coney Island","OFFENSES AGAINST PUBLIC SAFETY",9
"631","Coney Island","OFFENSES AGAINST THE PERSON",81
"632","Coney Island","OFFENSES INVOLVING FRAUD",101
"633","Coney Island","OTHER OFFENSES RELATED TO THEF",119
"634","Coney Island","OTHER STATE LAWS",3
"635","Coney Island","OTHER STATE LAWS (NON PENAL LA",14
"636","Coney Island","PETIT LARCENY",6011
"637","Coney Island","PETIT LARCENY OF MOTOR VEHICLE",9
"638","Coney Island","POSSESSION OF STOLEN PROPERTY",96
"639","Coney Island","PROSTITUTION & RELATED OFFENSES",2
"640","Coney Island","RAPE",82
"641","Coney Island","ROBBERY",816
"642","Coney Island","SEX CRIMES",442
"643","Coney Island","THEFT OF SERVICES",3
"644","Coney Island","THEFT-FRAUD",213
"645","Coney Island","UNAUTHORIZED USE OF A VEHICLE",131
"646","Coney Island","VEHICLE AND TRAFFIC LAWS",415
"647","East Flatbush","(null)",1
"648","East Flatbush","ADMINISTRATIVE CODE",195
"649","East Flatbush","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",11
"650","East Flatbush","ALCOHOLIC BEVERAGE CONTROL LAW",195
"651","East Flatbush","ARSON",81
"652","East Flatbush","ASSAULT 3 & RELATED OFFENSES",6365
"653","East Flatbush","BURGLAR'S TOOLS",13
"654","East Flatbush","BURGLARY",1197
"655","East Flatbush","CHILD ABANDONMENT/NON SUPPORT",1
"656","East Flatbush","CRIMINAL MISCHIEF & RELATED OF",5205
"657","East Flatbush","CRIMINAL TRESPASS",323
"658","East Flatbush","DANGEROUS DRUGS",728
"659","East Flatbush","DANGEROUS WEAPONS",1267
"660","East Flatbush","DISORDERLY CONDUCT",1
"661","East Flatbush","FELONY ASSAULT",3541
"662","East Flatbush","FORGERY",1259
"663","East Flatbush","FRAUDS",357
"664","East Flatbush","GAMBLING",41
"665","East Flatbush","GRAND LARCENY",3356
"666","East Flatbush","GRAND LARCENY OF MOTOR VEHICLE",1006
"667","East Flatbush","HARRASSMENT 2",10345
"668","East Flatbush","HOMICIDE-NEGLIGENT,UNCLASSIFIE",3
"669","East Flatbush","HOMICIDE-NEGLIGENT-VEHICLE",1
"670","East Flatbush","INTOXICATED & IMPAIRED DRIVING",400
"671","East Flatbush","JOSTLING",1
"672","East Flatbush","KIDNAPPING",2
"673","East Flatbush","KIDNAPPING & RELATED OFFENSES",8
"674","East Flatbush","MISCELLANEOUS PENAL LAW",2688
"675","East Flatbush","MURDER & NON-NEGL. MANSLAUGHTER",50
"676","East Flatbush","NEW YORK CITY HEALTH CODE",1
"677","East Flatbush","NYS LAWS-UNCLASSIFIED FELONY",82
"678","East Flatbush","NYS LAWS-UNCLASSIFIED VIOLATION",2
"679","East Flatbush","OFF. AGNST PUB ORD SENSBLTY &",2002
"680","East Flatbush","OFFENSES AGAINST PUBLIC ADMINI",432
"681","East Flatbush","OFFENSES AGAINST PUBLIC SAFETY",4
"682","East Flatbush","OFFENSES AGAINST THE PERSON",116
"683","East Flatbush","OFFENSES INVOLVING FRAUD",198
"684","East Flatbush","OFFENSES RELATED TO CHILDREN",80
"685","East Flatbush","OTHER OFFENSES RELATED TO THEF",93
"686","East Flatbush","OTHER STATE LAWS",10
"687","East Flatbush","OTHER STATE LAWS (NON PENAL LA",54
"688","East Flatbush","PETIT LARCENY",6351
"689","East Flatbush","PETIT LARCENY OF MOTOR VEHICLE",4
"690","East Flatbush","POSSESSION OF STOLEN PROPERTY",188
"691","East Flatbush","PROSTITUTION & RELATED OFFENSES",4
"692","East Flatbush","RAPE",191
"693","East Flatbush","ROBBERY",1654
"694","East Flatbush","SEX CRIMES",737
"695","East Flatbush","THEFT OF SERVICES",3
"696","East Flatbush","THEFT-FRAUD",245
"697","East Flatbush","UNAUTHORIZED USE OF A VEHICLE",189
"698","East Flatbush","VEHICLE AND TRAFFIC LAWS",1283
"699","East Harlem","(null)",3
"700","East Harlem","ADMINISTRATIVE CODE",91
"701","East Harlem","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",38
"702","East Harlem","ARSON",153
"703","East Harlem","ASSAULT 3 & RELATED OFFENSES",8692
"704","East Harlem","BURGLAR'S TOOLS",23
"705","East Harlem","BURGLARY",1505
"706","East Harlem","CANNABIS RELATED OFFENSES",2
"707","East Harlem","CHILD ABANDONMENT/NON SUPPORT",3
"708","East Harlem","CRIMINAL MISCHIEF & RELATED OF",7625
"709","East Harlem","CRIMINAL TRESPASS",584
"710","East Harlem","DANGEROUS DRUGS",6165
"711","East Harlem","DANGEROUS WEAPONS",1726
"712","East Harlem","DISORDERLY CONDUCT",6
"713","East Harlem","ENDAN WELFARE INCOMP",6
"714","East Harlem","ESCAPE 3",3
"715","East Harlem","FELONY ASSAULT",4227
"716","East Harlem","FELONY SEX CRIMES",1
"717","East Harlem","FORGERY",1262
"718","East Harlem","FRAUDS",272
"719","East Harlem","FRAUDULENT ACCOSTING",3
"720","East Harlem","GAMBLING",64
"721","East Harlem","GRAND LARCENY",4914
"722","East Harlem","GRAND LARCENY OF MOTOR VEHICLE",566
"723","East Harlem","HARRASSMENT 2",10905
"724","East Harlem","INTOXICATED & IMPAIRED DRIVING",441
"725","East Harlem","INTOXICATED/IMPAIRED DRIVING",2
"726","East Harlem","JOSTLING",1
"727","East Harlem","KIDNAPPING & RELATED OFFENSES",14
"728","East Harlem","MISCELLANEOUS PENAL LAW",2001
"729","East Harlem","MURDER & NON-NEGL. MANSLAUGHTER",63
"730","East Harlem","NEW YORK CITY HEALTH CODE",1
"731","East Harlem","NYS LAWS-UNCLASSIFIED FELONY",138
"732","East Harlem","NYS LAWS-UNCLASSIFIED VIOLATION",2
"733","East Harlem","OFF. AGNST PUB ORD SENSBLTY &",3543
"734","East Harlem","OFFENSES AGAINST PUBLIC ADMINI",2082
"735","East Harlem","OFFENSES AGAINST PUBLIC SAFETY",10
"736","East Harlem","OFFENSES AGAINST THE PERSON",257
"737","East Harlem","OFFENSES INVOLVING FRAUD",216
"738","East Harlem","OFFENSES RELATED TO CHILDREN",2
"739","East Harlem","OTHER OFFENSES RELATED TO THEF",140
"740","East Harlem","OTHER STATE LAWS",1
"741","East Harlem","OTHER STATE LAWS (NON PENAL LA",61
"742","East Harlem","PETIT LARCENY",11378
"743","East Harlem","PETIT LARCENY OF MOTOR VEHICLE",5
"744","East Harlem","POSSESSION OF STOLEN PROPERTY",217
"745","East Harlem","PROSTITUTION & RELATED OFFENSES",13
"746","East Harlem","RAPE",194
"747","East Harlem","ROBBERY",2234
"748","East Harlem","SEX CRIMES",1149
"749","East Harlem","THEFT OF SERVICES",83
"750","East Harlem","THEFT-FRAUD",422
"751","East Harlem","UNAUTHORIZED USE OF A VEHICLE",150
"752","East Harlem","VEHICLE AND TRAFFIC LAWS",915
"753","East New York/Starrett City","(null)",3
"754","East New York/Starrett City","ADMINISTRATIVE CODE",312
"755","East New York/Starrett City","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",57
"756","East New York/Starrett City","ALCOHOLIC BEVERAGE CONTROL LAW",7
"757","East New York/Starrett City","ANTICIPATORY OFFENSES",1
"758","East New York/Starrett City","ARSON",201
"759","East New York/Starrett City","ASSAULT 3 & RELATED OFFENSES",9442
"760","East New York/Starrett City","BURGLAR'S TOOLS",41
"761","East New York/Starrett City","BURGLARY",2510
"762","East New York/Starrett City","CANNABIS RELATED OFFENSES",2
"763","East New York/Starrett City","CHILD ABANDONMENT/NON SUPPORT",7
"764","East New York/Starrett City","CRIMINAL MISCHIEF & RELATED OF",9430
"765","East New York/Starrett City","CRIMINAL TRESPASS",329
"766","East New York/Starrett City","DANGEROUS DRUGS",1628
"767","East New York/Starrett City","DANGEROUS WEAPONS",1653
"768","East New York/Starrett City","DISORDERLY CONDUCT",6
"769","East New York/Starrett City","ENDAN WELFARE INCOMP",5
"770","East New York/Starrett City","ESCAPE 3",1
"771","East New York/Starrett City","FELONY ASSAULT",5605
"772","East New York/Starrett City","FELONY SEX CRIMES",6
"773","East New York/Starrett City","FORGERY",947
"774","East New York/Starrett City","FRAUDS",236
"775","East New York/Starrett City","GAMBLING",29
"776","East New York/Starrett City","GRAND LARCENY",6382
"777","East New York/Starrett City","GRAND LARCENY OF MOTOR VEHICLE",2185
"778","East New York/Starrett City","HARRASSMENT 2",13580
"779","East New York/Starrett City","HOMICIDE-NEGLIGENT,UNCLASSIFIE",1
"780","East New York/Starrett City","HOMICIDE-NEGLIGENT-VEHICLE",1
"781","East New York/Starrett City","INTOXICATED & IMPAIRED DRIVING",536
"782","East New York/Starrett City","INTOXICATED/IMPAIRED DRIVING",1
"783","East New York/Starrett City","KIDNAPPING",7
"784","East New York/Starrett City","KIDNAPPING & RELATED OFFENSES",51
"785","East New York/Starrett City","LOITERING/GAMBLING (CARDS, DIC",1
"786","East New York/Starrett City","MISCELLANEOUS PENAL LAW",3530
"787","East New York/Starrett City","MURDER & NON-NEGL. MANSLAUGHTER",85
"788","East New York/Starrett City","NYS LAWS-UNCLASSIFIED FELONY",171
"789","East New York/Starrett City","NYS LAWS-UNCLASSIFIED VIOLATION",4
"790","East New York/Starrett City","OFF. AGNST PUB ORD SENSBLTY &",3757
"791","East New York/Starrett City","OFFENSES AGAINST PUBLIC ADMINI",986
"792","East New York/Starrett City","OFFENSES AGAINST PUBLIC SAFETY",2
"793","East New York/Starrett City","OFFENSES AGAINST THE PERSON",183
"794","East New York/Starrett City","OFFENSES INVOLVING FRAUD",158
"795","East New York/Starrett City","OTHER OFFENSES RELATED TO THEF",173
"796","East New York/Starrett City","OTHER STATE LAWS",1
"797","East New York/Starrett City","OTHER STATE LAWS (NON PENAL LA",55
"798","East New York/Starrett City","PETIT LARCENY",14357
"799","East New York/Starrett City","PETIT LARCENY OF MOTOR VEHICLE",18
"800","East New York/Starrett City","POSSESSION OF STOLEN PROPERTY",417
"801","East New York/Starrett City","PROSTITUTION & RELATED OFFENSES",60
"802","East New York/Starrett City","RAPE",355
"803","East New York/Starrett City","ROBBERY",3944
"804","East New York/Starrett City","SEX CRIMES",1140
"805","East New York/Starrett City","THEFT OF SERVICES",57
"806","East New York/Starrett City","THEFT-FRAUD",436
"807","East New York/Starrett City","UNAUTHORIZED USE OF A VEHICLE",215
"808","East New York/Starrett City","UNLAWFUL POSS. WEAP. ON SCHOOL",1
"809","East New York/Starrett City","VEHICLE AND TRAFFIC LAWS",1735
"810","Elmhurst/Corona","ADMINISTRATIVE CODE",65
"811","Elmhurst/Corona","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",2
"812","Elmhurst/Corona","ALCOHOLIC BEVERAGE CONTROL LAW",3
"813","Elmhurst/Corona","ARSON",62
"814","Elmhurst/Corona","ASSAULT 3 & RELATED OFFENSES",5632
"815","Elmhurst/Corona","BURGLAR'S TOOLS",23
"816","Elmhurst/Corona","BURGLARY",1006
"817","Elmhurst/Corona","CHILD ABANDONMENT/NON SUPPORT",3
"818","Elmhurst/Corona","CRIMINAL MISCHIEF & RELATED OF",3992
"819","Elmhurst/Corona","CRIMINAL TRESPASS",241
"820","Elmhurst/Corona","DANGEROUS DRUGS",435
"821","Elmhurst/Corona","DANGEROUS WEAPONS",332
"822","Elmhurst/Corona","DISRUPTION OF A RELIGIOUS SERV",1
"823","Elmhurst/Corona","ESCAPE 3",1
"824","Elmhurst/Corona","FELONY ASSAULT",2222
"825","Elmhurst/Corona","FORGERY",298
"826","Elmhurst/Corona","FRAUDS",104
"827","Elmhurst/Corona","GAMBLING",8
"828","Elmhurst/Corona","GRAND LARCENY",4445
"829","Elmhurst/Corona","GRAND LARCENY OF MOTOR VEHICLE",824
"830","Elmhurst/Corona","HARRASSMENT 2",5718
"831","Elmhurst/Corona","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"832","Elmhurst/Corona","HOMICIDE-NEGLIGENT-VEHICLE",2
"833","Elmhurst/Corona","INTOXICATED & IMPAIRED DRIVING",289
"834","Elmhurst/Corona","JOSTLING",1
"835","Elmhurst/Corona","KIDNAPPING",2
"836","Elmhurst/Corona","KIDNAPPING & RELATED OFFENSES",10
"837","Elmhurst/Corona","LOITERING/GAMBLING (CARDS, DIC",1
"838","Elmhurst/Corona","MISCELLANEOUS PENAL LAW",956
"839","Elmhurst/Corona","MURDER & NON-NEGL. MANSLAUGHTER",18
"840","Elmhurst/Corona","NYS LAWS-UNCLASSIFIED FELONY",16
"841","Elmhurst/Corona","NYS LAWS-UNCLASSIFIED VIOLATION",1
"842","Elmhurst/Corona","OFF. AGNST PUB ORD SENSBLTY &",805
"843","Elmhurst/Corona","OFFENSES AGAINST PUBLIC ADMINI",360
"844","Elmhurst/Corona","OFFENSES AGAINST PUBLIC SAFETY",3
"845","Elmhurst/Corona","OFFENSES AGAINST THE PERSON",91
"846","Elmhurst/Corona","OFFENSES INVOLVING FRAUD",65
"847","Elmhurst/Corona","OFFENSES RELATED TO CHILDREN",1
"848","Elmhurst/Corona","OTHER OFFENSES RELATED TO THEF",81
"849","Elmhurst/Corona","OTHER STATE LAWS",2
"850","Elmhurst/Corona","OTHER STATE LAWS (NON PENAL LA",6
"851","Elmhurst/Corona","PETIT LARCENY",10603
"852","Elmhurst/Corona","PETIT LARCENY OF MOTOR VEHICLE",49
"853","Elmhurst/Corona","POSSESSION OF STOLEN PROPERTY",120
"854","Elmhurst/Corona","PROSTITUTION & RELATED OFFENSES",6
"855","Elmhurst/Corona","RAPE",181
"856","Elmhurst/Corona","ROBBERY",1773
"857","Elmhurst/Corona","SEX CRIMES",886
"858","Elmhurst/Corona","THEFT-FRAUD",143
"859","Elmhurst/Corona","UNAUTHORIZED USE OF A VEHICLE",84
"860","Elmhurst/Corona","VEHICLE AND TRAFFIC LAWS",691
"861","Flatbush","(null)",2
"862","Flatbush","ADMINISTRATIVE CODE",67
"863","Flatbush","AGRICULTURE & MRKTS LAW-UNCLASSIFIED",7
"864","Flatbush","ALCOHOLIC BEVERAGE CONTROL LAW",7
"865","Flatbush","ANTICIPATORY OFFENSES",1
"866","Flatbush","ARSON",33
"867","Flatbush","ASSAULT 3 & RELATED OFFENSES",4677
"868","Flatbush","BURGLAR'S TOOLS",14
"869","Flatbush","BURGLARY",1109
"870","Flatbush","CANNABIS RELATED OFFENSES",2
"871","Flatbush","CRIMINAL MISCHIEF & RELATED OF",3684
"872","Flatbush","CRIMINAL TRESPASS",228
"873","Flatbush","DANGEROUS DRUGS",987
"874","Flatbush","DANGEROUS WEAPONS",684
"875","Flatbush","ENDAN WELFARE INCOMP",2
"876","Flatbush","FELONY ASSAULT",1814
"877","Flatbush","FELONY SEX CRIMES",3
"878","Flatbush","FORGERY",734
"879","Flatbush","FRAUDS",131
"880","Flatbush","FRAUDULENT ACCOSTING",1
"881","Flatbush","GAMBLING",8
"882","Flatbush","GRAND LARCENY",3094
"883","Flatbush","GRAND LARCENY OF MOTOR VEHICLE",616
"884","Flatbush","HARRASSMENT 2",5671
"885","Flatbush","HOMICIDE-NEGLIGENT,UNCLASSIFIE",2
"886","Flatbush","INTOXICATED & IMPAIRED DRIVING",385
"887","Flatbush","JOSTLING",1
"888","Flatbush","KIDNAPPING & RELATED OFFENSES",15
"889","Flatbush","LOITERING/GAMBLING (CARDS, DIC",6
"890","Flatbush","MISCELLANEOUS PENAL LAW",1663
"891","Flatbush","MURDER & NON-NEGL. MANSLAUGHTER",25
"892","Flatbush","NEW YORK CITY HEALTH CODE",1
"893","Flatbush","NYS LAWS-UNCLASSIFIED FELONY",32
"894","Flatbush","OFF. AGNST PUB ORD SENSBLTY &",1983
"895","Flatbush","OFFENSES AGAINST PUBLIC ADMINI",356
"896","Flatbush","OFFENSES AGAINST PUBLIC SAFETY",4
"897","Flatbush","OFFENSES AGAINST THE PERSON",68
"898","Flatbush","OFFENSES INVOLVING FRAUD",93
"899","Flatbush","OTHER OFFENSES RELATED TO THEF",85
"900","Flatbush","OTHER STATE LAWS",1
"901","Flatbush","OTHER STATE LAWS (NON PENAL LA",13
"902","Flatbush","PETIT LARCENY",8736
"903","Flatbush","PETIT LARCENY OF MOTOR VEHICLE",2
"904","Flatbush","POSSESSION OF STOLEN PROPERTY",130
"905","Flatbush","PROSTITUTION & RELATED OFFENSES",1
"906","Flatbush","RAPE",133
"907","Flatbush","ROBBERY",1111
"908","Flatbush","SEX CRIMES",517
"909","Flatbush","THEFT OF SERVICES",4
