"","neighborhood","ofns_desc","count"
"102","Bayside/Little Neck","ADMINISTRATIVE CODE",32
"103","Bayside/Little Neck","ARSON",11
"104","Bayside/Little Neck","ASSAULT 3 & RELATED OFFENSES",1258
"105","Bayside/Little Neck","BURGLAR'S TOOLS",11
"106","Bayside/Little Neck","BURGLARY",1344
"107","Bayside/Little Neck","CRIMINAL MISCHIEF & RELATED OF",1798
"108","Bayside/Little Neck","CRIMINAL TRESPASS",87
"109","Bayside/Little Neck","DANGEROUS DRUGS",109
"110","Bayside/Little Neck","DANGEROUS WEAPONS",83
"111","Bayside/Little Neck","ENDAN WELFARE INCOMP",1
"112","Bayside/Little Neck","FELONY ASSAULT",469
"113","Bayside/Little Neck","FORGERY",180
"114","Bayside/Little Neck","FRAUDS",269
"115","Bayside/Little Neck","GAMBLING",1
"116","Bayside/Little Neck","GRAND LARCENY",2575
"117","Bayside/Little Neck","GRAND LARCENY OF MOTOR VEHICLE",424
"118","Bayside/Little Neck","HARRASSMENT 2",2758
"119","Bayside/Little Neck","INTOXICATED & IMPAIRED DRIVING",257
"120","Bayside/Little Neck","INTOXICATED/IMPAIRED DRIVING",1
"121","Bayside/Little Neck","KIDNAPPING & RELATED OFFENSES",2
"122","Bayside/Little Neck","MISCELLANEOUS PENAL LAW",423
"123","Bayside/Little Neck","MURDER & NON-NEGL. MANSLAUGHTER",2
"124","Bayside/Little Neck","NYS LAWS-UNCLASSIFIED FELONY",5
"125","Bayside/Little Neck","NYS LAWS-UNCLASSIFIED VIOLATION",1
"126","Bayside/Little Neck","OFF. AGNST PUB ORD SENSBLTY &",466
"127","Bayside/Little Neck","OFFENSES AGAINST PUBLIC ADMINI",148
"128","Bayside/Little Neck","OFFENSES AGAINST THE PERSON",24
"129","Bayside/Little Neck","OFFENSES INVOLVING FRAUD",38
"130","Bayside/Little Neck","OTHER OFFENSES RELATED TO THEF",41
"131","Bayside/Little Neck","OTHER STATE LAWS",1
"132","Bayside/Little Neck","OTHER STATE LAWS (NON PENAL LA",7
"133","Bayside/Little Neck","PETIT LARCENY",2923
"134","Bayside/Little Neck","PETIT LARCENY OF MOTOR VEHICLE",1
"135","Bayside/Little Neck","POSSESSION OF STOLEN PROPERTY",28
"136","Bayside/Little Neck","RAPE",27
"137","Bayside/Little Neck","ROBBERY",236
"138","Bayside/Little Neck","SEX CRIMES",183
"139","Bayside/Little Neck","THEFT-FRAUD",248
"140","Bayside/Little Neck","UNAUTHORIZED USE OF A VEHICLE",58
"141","Bayside/Little Neck","VEHICLE AND TRAFFIC LAWS",322
"142","Bedford Stuyvesant","(null)",1
