"ofns_desc","Incident_Count","year","boro_nm"
"CRIMINAL MISCHIEF & RELATED OF",10043,2017,"MANHATTAN"
"DANGEROUS DRUGS",6298,2017,"MANHATTAN"
"OFF. AGNST PUB ORD SENSBLTY &",4910,2017,"MANHATTAN"
"FELONY ASSAULT",3734,2017,"MANHATTAN"
"ROBBERY",2778,2017,"MANHATTAN"
"BURGLARY",2444,2017,"MANHATTAN"
"PETIT LARCENY",15368,2017,"QUEENS"
"HARRASSMENT 2",14123,2017,"QUEENS"
"CRIMINAL MISCHIEF & RELATED OF",10826,2017,"QUEENS"
"ASSAULT 3 & RELATED OFFENSES",10597,2017,"QUEENS"
"GRAND LARCENY",7882,2017,"QUEENS"
"OFF. AGNST PUB ORD SENSBLTY &",4093,2017,"QUEENS"
"FELONY ASSAULT",3844,2017,"QUEENS"
"MISCELLANEOUS PENAL LAW",3496,2017,"QUEENS"
"BURGLARY",2933,2017,"QUEENS"
"ROBBERY",2840,2017,"QUEENS"
"HARRASSMENT 2",4591,2017,"STATEN ISLAND"
"PETIT LARCENY",3353,2017,"STATEN ISLAND"
"CRIMINAL MISCHIEF & RELATED OF",2766,2017,"STATEN ISLAND"
"ASSAULT 3 & RELATED OFFENSES",2094,2017,"STATEN ISLAND"
"OFF. AGNST PUB ORD SENSBLTY &",1150,2017,"STATEN ISLAND"
"GRAND LARCENY",1117,2017,"STATEN ISLAND"
"INTOXICATED & IMPAIRED DRIVING",779,2017,"STATEN ISLAND"
"DANGEROUS DRUGS",684,2017,"STATEN ISLAND"
"MISCELLANEOUS PENAL LAW",658,2017,"STATEN ISLAND"
"FELONY ASSAULT",652,2017,"STATEN ISLAND"
"PETIT LARCENY",86249,2018,"Overall"
"HARRASSMENT 2",70248,2018,"Overall"
"ASSAULT 3 & RELATED OFFENSES",53061,2018,"Overall"
"CRIMINAL MISCHIEF & RELATED OF",47164,2018,"Overall"
"GRAND LARCENY",43513,2018,"Overall"
"OFF. AGNST PUB ORD SENSBLTY &",20540,2018,"Overall"
"FELONY ASSAULT",20399,2018,"Overall"
"DANGEROUS DRUGS",15232,2018,"Overall"
"MISCELLANEOUS PENAL LAW",13235,2018,"Overall"
"ROBBERY",12965,2018,"Overall"
"HARRASSMENT 2",16193,2018,"BRONX"
"PETIT LARCENY",15326,2018,"BRONX"
"ASSAULT 3 & RELATED OFFENSES",14327,2018,"BRONX"
"CRIMINAL MISCHIEF & RELATED OF",10567,2018,"BRONX"
"GRAND LARCENY",6356,2018,"BRONX"
"FELONY ASSAULT",5860,2018,"BRONX"
"DANGEROUS DRUGS",5264,2018,"BRONX"
"OFF. AGNST PUB ORD SENSBLTY &",4495,2018,"BRONX"
"ROBBERY",3220,2018,"BRONX"
"OFFENSES AGAINST PUBLIC ADMINI",2568,2018,"BRONX"
"PETIT LARCENY",24148,2018,"BROOKLYN"
"HARRASSMENT 2",20770,2018,"BROOKLYN"
"ASSAULT 3 & RELATED OFFENSES",15000,2018,"BROOKLYN"
"CRIMINAL MISCHIEF & RELATED OF",14512,2018,"BROOKLYN"
"GRAND LARCENY",11313,2018,"BROOKLYN"
"OFF. AGNST PUB ORD SENSBLTY &",6310,2018,"BROOKLYN"
"FELONY ASSAULT",6224,2018,"BROOKLYN"
"MISCELLANEOUS PENAL LAW",5197,2018,"BROOKLYN"
"DANGEROUS DRUGS",4600,2018,"BROOKLYN"
"ROBBERY",4157,2018,"BROOKLYN"
"PETIT LARCENY",27572,2018,"MANHATTAN"
"GRAND LARCENY",16628,2018,"MANHATTAN"
